Date,Value,Drawdown
2022-04-04,20521.496497096552,-0.0697136023914211
2022-04-05,20114.250141125416,-0.08817501165020547
2022-04-06,19812.816194741506,-0.10183970224126937
2022-04-07,19838.175876224534,-0.10069008984654537
2022-04-08,19873.267786330645,-0.09909929325710376
2022-04-11,19830.434383075662,-0.10104102944661764
2022-04-12,19906.209347475964,-0.09760597690691375
2022-04-13,19969.589417805484,-0.09473281327991567
2022-04-14,19888.87948492751,-0.09839157923389485
2022-04-18,19914.015340320868,-0.09725211338801931
2022-04-19,19698.498009529583,-0.1070220071826754
2022-04-20,19798.01984464478,-0.1025104546511234
2022-04-21,19787.065617211814,-0.1030070348483152
2022-04-22,19640.477285645055,-0.10965221937099301
2022-04-25,19423.674108650586,-0.11948040351656997
2022-04-26,19463.8338697956,-0.11765986964226405
2022-04-27,19406.626330236606,-0.12025321832421398
2022-04-28,19469.77885721233,-0.11739036975815365
2022-04-29,19273.378688901423,-0.12629363882985722
2022-05-02,19049.553134920556,-0.13644016339423615
2022-05-03,19108.265725077847,-0.13377858732450731
2022-05-04,19239.6980868686,-0.12782045759469907
2022-05-05,18769.529317547305,-0.14913428384230487
2022-05-06,18704.65145323944,-0.1520753458978933
2022-05-09,18713.182894552232,-0.1516885961398331
2022-05-10,18712.153063079764,-0.15173528075714648
2022-05-11,18859.879426553376,-0.14503850664385876
2022-05-12,18835.17711054194,-0.14615831915744026
2022-05-13,18832.571981232904,-0.146276415630597
2022-05-16,18852.97860530909,-0.1453513366627024
2022-05-17,18747.951606104903,-0.15011245088042657
2022-05-18,18692.90234671067,-0.15260795978349928
2022-05-19,18694.280145616496,-0.15254550100614306
2022-05-20,18742.98842669778,-0.15033744316069186
2022-05-23,18593.086005143738,-0.15713286296645712
2022-05-24,18728.738983519506,-0.15098340302839053
2022-05-25,18796.632847246132,-0.14790561881733622
2022-05-26,18873.056975846284,-0.1444411381789057
2022-05-27,19031.41849960631,-0.13726224791233266
2022-05-31,18971.607366520708,-0.13997362344690756
2022-06-01,18844.664823163657,-0.14572821943261505
2022-06-02,19202.89153269367,-0.12948898292357192
2022-06-03,18805.306615856123,-0.1475124170371921
2022-06-06,18709.262576465047,-0.15186631312998156
2022-06-07,18878.334447337125,-0.14420189831925945
2022-06-08,18694.56303516412,-0.1525326769755848
2022-06-09,18219.921729228565,-0.17404925354286827
2022-06-10,17780.414248293306,-0.1939731334226389
2022-06-13,17291.52192711416,-0.21613574112293932
2022-06-14,17105.664282204085,-0.2245610934833714
2022-06-15,17329.071361338254,-0.21443353934143117
2022-06-16,17436.095614442114,-0.20958188503391884
2022-06-17,17353.764586390633,-0.2133141389418275
2022-06-21,17287.823428231764,-0.21630340254092373
2022-06-22,17388.689556735928,-0.21173091011376877
2022-06-23,17358.80330881163,-0.21308572212387056
2022-06-24,17232.826508888134,-0.2187965387497277
2022-06-27,17142.880056561375,-0.2228740172671727
2022-06-28,17132.652641246103,-0.2233376494078324
2022-06-29,17207.903982403066,-0.21992633390800864
2022-06-30,17317.357597602182,-0.21496455105736578
2022-07-01,17466.324274768678,-0.20821155068604558
2022-07-05,17558.591817522458,-0.20402885182796016
2022-07-06,17358.372132680044,-0.21310526832461896
2022-07-07,17541.555338602113,-0.20480115440369995
2022-07-08,17510.09977635227,-0.20622710702339797
2022-07-11,17433.807670054717,-0.20968560278873172
2022-07-12,17320.793063504403,-0.21480881352629744
2022-07-13,17417.77923206594,-0.21041220856224263
2022-07-14,17310.39197403071,-0.21528031871399445
2022-07-15,17393.66197430397,-0.21150549904652838
2022-07-18,17226.70418057683,-0.21907407790241595
2022-07-19,17347.663354972636,-0.21359072172406413
2022-07-20,17532.617989957955,-0.20520630486996938
2022-07-21,17758.434156201256,-0.19496954129641697
2022-07-22,17556.859386451364,-0.2041073868929083
2022-07-25,17420.42546580148,-0.21029224873136887
2022-07-26,17328.556023577923,-0.214456900781406
2022-07-27,17302.964375137675,-0.21561702876913402
2022-07-28,17497.454747071253,-0.206800335137593
2022-07-29,17716.59061369398,-0.19686640483303974
2022-08-01,17688.03512817866,-0.1981608903378259
2022-08-02,17542.64814811622,-0.20475161484764004
2022-08-03,17884.867625155166,-0.18923802281836977
2022-08-04,17954.98660410004,-0.1860593690425184
2022-08-05,17815.36424584564,-0.19238877005401256
2022-08-08,17801.525868128603,-0.19301609538367126
2022-08-09,17703.8323775998,-0.19744476487113805
2022-08-10,17987.46479034068,-0.18458705853714463
2022-08-11,17917.88072709732,-0.1877414633601453
2022-08-12,18204.057945679073,-0.17476839515385112
2022-08-15,18197.389291959596,-0.17507070048750295
2022-08-16,18159.902627994466,-0.17677005674952884
